,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id,input_dim
0,,0.6318007707595825,0.521115281592922,[0.75302663 0.45663166 0.35368755],0.5118064243422614,[0.78984127 0.43193525 0.31364276],0.5364230043594296,[0.71949104 0.48432343 0.40545455],,0.6804752945899963,0.5842398114775563,[0.79289787 0.53278429 0.42703727],0.5763577533123351,[0.81638644 0.51690227 0.39578454],0.5946817135633403,[0.7707231  0.5496732  0.46364883],"(256, 256)",0.1,0.001,123,focal,2,True,5,64,0.6,768
0,,0.6137930750846863,0.5103534933746438,[0.73786408 0.44621514 0.34698126],0.5006183083017501,[0.78983834 0.43143297 0.28058361],0.5362997838245364,[0.69230769 0.4620462  0.45454545],,0.6750160455703735,0.5861864374768382,[0.78781513 0.53081187 0.43993232],0.5752534180542227,[0.82259391 0.52960312 0.37356322],0.607621155458068,[0.7558579  0.53202614 0.53497942],"(256, 256)",0.1,0.0005,1,focal,2,True,5,64,0.7,768
0,,0.6091954112052917,0.5114712888693664,[0.73222343 0.4428684  0.35932203],0.500946764101322,[0.79252273 0.42383107 0.28648649],0.5419885597582316,[0.68045113 0.46369637 0.48181818],,0.6693962812423706,0.5859898686959427,[0.77935896 0.5352829  0.44332775],0.5734048973847811,[0.82535211 0.5210396  0.37382298],0.6110432101510015,[0.73822121 0.5503268  0.54458162],"(256, 256)",0.1,0.0005,12,focal,2,True,5,64,0.7,768
0,,0.6245210766792297,0.5113985417720345,[0.7498124  0.43441938 0.34996385],0.5032852336248504,[0.77940718 0.43993232 0.29051621],0.5304752615226821,[0.72238288 0.4290429  0.44      ],,0.68416827917099,0.5897216171409873,[0.79630817 0.52265044 0.45020625],0.5821624744263262,[0.8105428  0.54131653 0.3946281 ],0.6039330409804525,[0.78256488 0.50522876 0.52400549],"(256, 256)",0.1,0.0005,123,focal,2,True,5,64,0.7,768
0,,0.6339080333709717,0.5174885590516312,[0.75672445 0.45010101 0.34564022],0.5094108348518558,[0.78293135 0.44101346 0.30428769],0.5305953701211648,[0.73221515 0.45957096 0.4       ],,0.6891458034515381,0.5931007732174661,[0.79872041 0.53529412 0.44528779],0.58664403908385,[0.81149246 0.53529412 0.41314554],0.6014971695125237,[0.78634417 0.53529412 0.48285322],"(256, 256)",0.1,0.0001,1,focal,2,True,5,64,0.8,768
0,,0.6377394795417786,0.5180880280017811,[0.761735   0.44845996 0.34406913],0.5108292089615626,[0.78313989 0.44644317 0.30290456],0.5300486416484332,[0.74146906 0.45049505 0.39818182],,0.6909120082855225,0.5913304726050543,[0.8021336  0.53185781 0.44      ],0.586327739037621,[0.80870679 0.54614325 0.40413318],0.5989400973009231,[0.79566641 0.51830065 0.48285322],"(256, 256)",0.1,0.0001,12,focal,2,True,5,64,0.8,768
0,,0.6333333253860474,0.5149026925405952,[0.75643505 0.44707805 0.34119497],0.5075022305833135,[0.7790377  0.44291498 0.30055402],0.5269908616078496,[0.735107   0.45132013 0.39454545],,0.6907514333724976,0.5926913095992749,[0.80122637 0.53785385 0.43899371],0.5865885254449359,[0.81264576 0.54177719 0.40534262],0.6009494607170714,[0.79012346 0.53398693 0.478738  ],"(256, 256)",0.1,0.0001,123,focal,2,True,5,64,0.8,768
0,,0.6201149225234985,0.508338347253922,[0.7478941  0.4228275  0.35429344],0.5018252385262363,[0.77931034 0.44414169 0.28202368],0.5329138830597924,[0.71891267 0.40346535 0.47636364],,0.6835260391235352,0.5899856459518537,[0.79753499 0.51807652 0.45434543],0.5839502682578239,[0.81308901 0.55951478 0.37924702],0.6104824371449541,[0.78256488 0.48235294 0.56652949],"(512, 512)",0.1,0.001,1,focal,2,True,5,64,0.9,768
0,,0.6189655065536499,0.5144263873268816,[0.74200492 0.45105717 0.35021708],0.504087330935966,[0.79218647 0.42921013 0.29086538],0.5376832408515576,[0.6978022  0.47524752 0.44      ],,0.6787090301513672,0.5906347176321517,[0.78756206 0.53594352 0.44839858],0.5797921629287693,[0.81791045 0.52648172 0.39498433],0.6078851293603861,[0.75938524 0.54575163 0.51851852],"(512, 512)",0.1,0.001,12,focal,2,True,5,64,0.9,768
0,,0.6226053833961487,0.515504098022635,[0.74457684 0.44963615 0.3522993 ],0.5056971068363304,[0.78918394 0.41958542 0.30832196],0.5333250496825276,[0.70474263 0.48432343 0.41090909],,0.6748554706573486,0.579290277946376,[0.78617823 0.5319082  0.4197844 ],0.5714081712527189,[0.81147761 0.51241672 0.39033019],0.5897988276243282,[0.76240867 0.55294118 0.45404664],"(512, 512)",0.1,0.001,123,focal,2,True,5,64,0.9,768
0,,0.6312260627746582,0.516778214789634,[0.75561505 0.43014395 0.36457565],0.5088397870633705,[0.77794793 0.44173913 0.3068323 ],0.5342538175159333,[0.73452863 0.41914191 0.44909091],,0.6885035037994385,0.5908729995600549,[0.80050988 0.52965235 0.44245677],0.584960844493705,[0.81011352 0.5534188  0.39135021],0.6026302427692612,[0.79113127 0.50784314 0.50891632],"(512, 512)",0.1,0.0005,1,focal,2,True,5,64,0.1,768
0,,0.605555534362793,0.5062878236304593,[0.7305053  0.44053208 0.34782609],0.4964597889295705,[0.79282329 0.41889881 0.27765727],0.53574869864083,[0.6772701  0.46452145 0.46545455],,0.6698779463768005,0.5882000567661543,[0.77844471 0.53924051 0.44691495],0.5751659422504803,[0.82709751 0.52269939 0.37570093],0.6145002857109922,[0.73519778 0.55686275 0.55144033],"(512, 512)",0.1,0.0005,12,focal,2,True,5,64,0.1,768
