,loss,accuracy,f1,f1_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,k,num_layers,bidirectional,hidden_dim,dropout_rate,learning_rate,seed,gamma,k_fold,model_id
0,focal,0.5852788090705872,0.4289494793256006,[0.71479909 0.33712375 0.23492561],,0.5852788090705872,0.4289494793256006,[0.71479909 0.33712375 0.23492561],10,1,True,300,0.5,0.001,1,2,True,9
0,focal,0.5991078019142151,0.41563426030687395,[0.7323885  0.28571429 0.2288    ],,0.5991078019142151,0.41563426030687395,[0.7323885  0.28571429 0.2288    ],10,1,True,300,0.5,0.001,12,2,True,9
0,focal,0.5781412720680237,0.42478834011569,[0.71002828 0.31556654 0.2487702 ],,0.5781412720680237,0.42478834011569,[0.71002828 0.31556654 0.2487702 ],10,1,True,300,0.5,0.001,123,2,True,9
0,focal,0.577100396156311,0.4373078122489984,[0.70666225 0.32703538 0.27822581],,0.577100396156311,0.4373078122489984,[0.70666225 0.32703538 0.27822581],10,1,True,300,0.5,0.001,1234,2,True,9
0,focal,0.5748698711395264,0.439268061156558,[0.70016639 0.34243343 0.27520436],,0.5748698711395264,0.439268061156558,[0.70016639 0.34243343 0.27520436],10,1,True,300,0.5,0.0001,0,2,True,10
0,focal,0.570706307888031,0.43023578266317136,[0.69699989 0.33998669 0.25372077],,0.570706307888031,0.43023578266317136,[0.69699989 0.33998669 0.25372077],10,1,True,300,0.5,0.0001,1,2,True,10
0,focal,0.5732342004776001,0.4394110357100107,[0.69857207 0.34946237 0.27019868],,0.5732342004776001,0.4394110357100107,[0.69857207 0.34946237 0.27019868],10,1,True,300,0.5,0.0001,12,2,True,10
0,focal,0.5690706372261047,0.44478591303638965,[0.69481549 0.3516184  0.28792385],,0.5690706372261047,0.44478591303638965,[0.69481549 0.3516184  0.28792385],10,1,True,300,0.5,0.0001,123,2,True,10
0,focal,0.5855762362480164,0.4163033002996072,[0.71819138 0.26585366 0.26486486],,0.5855762362480164,0.4163033002996072,[0.71819138 0.26585366 0.26486486],10,1,True,300,0.5,0.0001,1234,2,True,10
0,focal,0.5824535489082336,0.43840468323100473,[0.71081436 0.32909605 0.27530364],,0.5824535489082336,0.43840468323100473,[0.71081436 0.32909605 0.27530364],10,1,True,300,0.5,0.0005,0,2,True,11
0,focal,0.5779925584793091,0.4525219175861784,[0.69959128 0.37702871 0.28094576],,0.5779925584793091,0.4525219175861784,[0.69959128 0.37702871 0.28094576],10,1,True,300,0.5,0.0005,1,2,True,11
0,focal,0.5854275226593018,0.4467148487149106,[0.71686482 0.31303698 0.31024275],,0.5854275226593018,0.4467148487149106,[0.71686482 0.31303698 0.31024275],10,1,True,300,0.5,0.0005,12,2,True,11
0,focal,0.6086245179176331,0.4318392433058938,[0.73689695 0.30721966 0.25140112],,0.6086245179176331,0.4318392433058938,[0.73689695 0.30721966 0.25140112],10,1,True,300,0.5,0.0005,123,2,True,11
0,focal,0.5675836205482483,0.4427516038202623,[0.69384981 0.346905   0.2875    ],,0.5675836205482483,0.4427516038202623,[0.69384981 0.346905   0.2875    ],10,1,True,300,0.5,0.0005,1234,2,True,11
0,focal,0.5815613269805908,0.41943821243457347,[0.71279007 0.32108183 0.22444274],,0.5815613269805908,0.41943821243457347,[0.71279007 0.32108183 0.22444274],10,1,True,300,0.2,0.001,0,2,True,12
0,focal,0.5619331002235413,0.43665084887893874,[0.68990658 0.34646695 0.27357901],,0.5619331002235413,0.43665084887893874,[0.68990658 0.34646695 0.27357901],10,1,True,300,0.2,0.001,1,2,True,12
0,focal,0.5927137732505798,0.41192893101489814,[0.73180396 0.22418358 0.27979925],,0.5927137732505798,0.41192893101489814,[0.73180396 0.22418358 0.27979925],10,1,True,300,0.2,0.001,12,2,True,12
