,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.667635440826416,0.5600717547822002,[0.7785213  0.5148847  0.38680927],0.5562735893105023,[0.78790882 0.50869925 0.37221269],0.5643915507243181,[0.76935484 0.52122241 0.4025974 ],,0.6624214053153992,0.5517869395751264,[0.77786014 0.50307145 0.37442922],0.5476194280764977,[0.78818227 0.49903784 0.35563817],0.5567641592542941,[0.76780488 0.5071708  0.3953168 ],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6755241751670837,0.5694119309350514,[0.78545574 0.52690763 0.39587242],0.5673080558291906,[0.80154466 0.5        0.40037951],0.572780579433502,[0.77       0.55687606 0.39146568],,0.6655660271644592,0.5571727823652068,[0.77773627 0.51618871 0.37759336],0.5544603658691387,[0.79445434 0.48976009 0.37916667],0.5611242362307791,[0.76170732 0.54563233 0.37603306],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6940004229545593,0.5911977484019596,[0.8003276  0.55883611 0.41442953],0.5848831064281342,[0.81297837 0.56341674 0.37825421],0.6002166392100906,[0.78806452 0.55432937 0.45825603],,0.6874213814735413,0.5833731561552552,[0.79766778 0.54461335 0.40783833],0.577028991283962,[0.81166372 0.55227882 0.36714443],0.5933272616368561,[0.78414634 0.53715776 0.45867769],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6755241751670837,0.5755712960244482,[0.78757846 0.52690972 0.41222571],0.5676565932024097,[0.8070413  0.53907638 0.3568521 ],0.5907510082285731,[0.76903226 0.51528014 0.48794063],,0.6798742413520813,0.5796125554297231,[0.79265092 0.53163709 0.41454965],0.5720609837535893,[0.8128685  0.54645561 0.35685885],0.5951686784326117,[0.77341463 0.51760104 0.49449036],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6692962646484375,0.5604620956841936,[0.78485538 0.50948509 0.38704581],0.5573897093896121,[0.79076621 0.54440154 0.33700138],0.5707851005813654,[0.77903226 0.47877759 0.45454545],,0.6713836193084717,0.5652566143685895,[0.78818462 0.49756776 0.41001747],0.5611542721623668,[0.79552795 0.5327381  0.35519677],0.5775258933340786,[0.78097561 0.46675359 0.48484848],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6587087512016296,0.5546044610326445,[0.77460106 0.51549894 0.37371338],0.5469081860942905,[0.79903978 0.51571793 0.32596685],0.5682469684895103,[0.7516129  0.51528014 0.43784787],,0.654716968536377,0.5499645862913042,[0.77698203 0.48682477 0.38608696],0.5421959437841862,[0.80124385 0.49201065 0.33333333],0.564857031302219,[0.75414634 0.48174707 0.45867769],80,15,4,umap,17,8,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,6,1,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.6680506467819214,0.5569564780140054,[0.78681604 0.49864499 0.38540841],0.5538241825728276,[0.79208892 0.53281853 0.3365651 ],0.5670128715168735,[0.7816129  0.46859083 0.45083488],,0.6602201461791992,0.5448714268163409,[0.78538026 0.478951   0.37028302],0.5417023688117911,[0.79259811 0.50879765 0.32371134],0.554403854921349,[0.77829268 0.45241199 0.43250689],80,15,4,umap,17,8,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,6,1,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.6595391035079956,0.550463964516179,[0.78238087 0.48410536 0.38490566],0.5464716137126708,[0.79447955 0.52050781 0.32442748],0.5654017637306504,[0.77064516 0.4524618  0.47309833],,0.6539308428764343,0.5479868468809156,[0.77733499 0.47539267 0.39123288],0.5435445754807952,[0.79414758 0.51164538 0.32484076],0.5656308226329648,[0.76121951 0.44393742 0.49173554],80,15,4,umap,17,8,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,6,1,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.6466680765151978,0.5064960895273759,[0.76615385 0.43941537 0.31391905],0.52065450984077,[0.73235294 0.49416755 0.33544304],0.4979340895178877,[0.80322581 0.39558574 0.29499072],,0.6407232880592346,0.5011742022089275,[0.76279505 0.43388582 0.30684174],0.5129341558175867,[0.73216689 0.49872989 0.30790569],0.49528205969184586,[0.79609756 0.38396349 0.30578512],80,15,4,umap,17,8,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,6,1,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,13
0,,0.6477060317993164,0.49844168665934024,[0.77502296 0.41992188 0.30038023],0.5131925443591179,[0.73733256 0.49425287 0.3079922 ],0.49164503214466837,[0.81677419 0.36502547 0.29313544],,0.6355345845222473,0.4992647799777185,[0.76276136 0.38974746 0.34528552],0.5090838903903335,[0.73189868 0.46201966 0.33333333],0.49716518819266015,[0.79634146 0.33702738 0.35812672],80,15,4,umap,17,8,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,6,1,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,13
