,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,num_features,embedding_dim,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6446360349655151,0.5032214351306235,[0.77146974 0.42828119 0.30991338],0.5066639773226692,[0.76881103 0.42193755 0.32924335],0.5005642201004369,[0.77414691 0.43481848 0.29272727],,0.6775851249694824,0.5519803579823309,[0.79990051 0.50099404 0.35504653],0.5563686303797754,[0.78978389 0.50806452 0.37125749],0.5481964527923652,[0.81027967 0.49411765 0.34019204],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6423371434211731,0.515635812196993,[0.77060665 0.45382794 0.32247285],0.509462284100393,[0.79513996 0.43494705 0.29829985],0.5242911549685911,[0.74754193 0.47442244 0.35090909],,0.6618497371673584,0.5445436386947754,[0.78565999 0.49202733 0.35594359],0.5429008462080108,[0.79006369 0.48995463 0.34868421],0.5463114738350758,[0.78130511 0.49411765 0.36351166],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6226053833961487,0.49867501562218314,[0.75018891 0.44461022 0.30122592],0.4939834635835947,[0.78569167 0.40571818 0.29054054],0.5074107919756695,[0.71775593 0.49174917 0.31272727],,0.6559088230133057,0.5504567211311272,[0.77625453 0.49506173 0.38005391],0.5466725916062233,[0.79750199 0.46900585 0.37350993],0.5557080445346864,[0.75610985 0.52418301 0.38683128],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.644444465637207,0.5059266361583199,[0.77407354 0.40627803 0.33742834],0.5060221940174731,[0.76607193 0.44499018 0.30700447],0.5101839675002781,[0.78224407 0.37376238 0.37454545],,0.6714836359024048,0.5598359547359636,[0.79176086 0.49329205 0.39445495],0.5582934833461489,[0.78938142 0.52069717 0.36480186],0.5640458103680429,[0.7941547  0.46862745 0.42935528],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6369732022285461,0.5141311335045772,[0.76288964 0.43439283 0.34511093],0.5079379809630963,[0.77982483 0.42914654 0.31484258],0.522753845656399,[0.74667438 0.43976898 0.38181818],,0.6559088230133057,0.5496429902838138,[0.77582896 0.49184605 0.38125396],0.5445516025362948,[0.78865174 0.49088542 0.35411765],0.5563737703586236,[0.76341648 0.49281046 0.41289438],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6352490186691284,0.49085913008384363,[0.7660473  0.36498379 0.3415463 ],0.49430738706011207,[0.74629731 0.41605069 0.32057416],0.4924693591394998,[0.78687102 0.32508251 0.36545455],,0.6676300764083862,0.5515794416632406,[0.78787879 0.48114525 0.38571429],0.5531953497822053,[0.77687975 0.51649175 0.36621455],0.5523093187892442,[0.79919375 0.4503268  0.40740741],20,3,5,6,15,4,umap,16,,['timeline_index'],[None],True,1,384,True,"(10,)",384,"(256, 256)",0.5,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.6524904370307922,0.499724746357917,[0.78149743 0.38318204 0.33449477],0.5093909347693023,[0.75193798 0.45516459 0.32107023],0.49780833086200466,[0.813476   0.33085809 0.34909091],,0.6673089265823364,0.5435661469847252,[0.78980267 0.46781116 0.37308461],0.5494185750866531,[0.76897375 0.51658768 0.3626943 ],0.5411100517024368,[0.81179138 0.42745098 0.38408779],20,3,5,6,15,4,umap,16,,['timeline_index'],[None],True,1,384,True,"(10,)",384,"(256, 256)",0.5,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.6467432975769043,0.5055469773119606,[0.77628414 0.38819733 0.35215947],0.5080399201502643,[0.76004433 0.43991641 0.32415902],0.5086824547116365,[0.79323308 0.34735974 0.38545455],,0.6714836359024048,0.5593994283562801,[0.78901126 0.48092153 0.4082655 ],0.5620414253055147,[0.77529183 0.53525641 0.37557604],0.5623380765200455,[0.80322499 0.43660131 0.44718793],20,3,5,6,15,4,umap,16,,['timeline_index'],[None],True,1,384,True,"(10,)",384,"(256, 256)",0.5,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.6072797179222107,0.464981208219477,[0.74180749 0.39235182 0.26078431],0.4675773087638871,[0.75410816 0.36564505 0.28297872],0.4649957286069844,[0.72990168 0.42326733 0.24181818],,0.6353564262390137,0.5112273967371995,[0.76696315 0.44587946 0.32083958],0.5161296194159449,[0.77364778 0.42102207 0.35371901],0.5092673557763298,[0.76039305 0.47385621 0.29355281],20,3,5,6,15,4,umap,16,,['timeline_index'],[None],True,1,384,True,"(10,)",384,"(256, 256)",0.5,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,13
0,,0.6281608939170837,0.4801323300939971,[0.75998258 0.41441441 0.266     ],0.4844111842470102,[0.76319627 0.39448173 0.29555556],0.4783608881420241,[0.75679584 0.43646865 0.24181818],,0.6504495739936829,0.5120938281793539,[0.7819083  0.45513654 0.29923664],0.5198184412858915,[0.76932455 0.45278137 0.3373494 ],0.507096116910413,[0.79491056 0.45751634 0.26886145],20,3,5,6,15,4,umap,16,,['timeline_index'],[None],True,1,384,True,"(10,)",384,"(256, 256)",0.5,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,13
0,,0.6335248947143555,0.468705512372408,[0.76767677 0.38341969 0.25502008],0.47747712115521285,[0.74550409 0.40217391 0.28475336],0.4628181719270828,[0.79120879 0.36633663 0.23090909],,0.6535003185272217,0.5009445645635974,[0.78403643 0.43622269 0.28257457],0.5170579874763361,[0.74765714 0.47324159 0.33027523],0.4918752686259689,[0.82413706 0.40457516 0.24691358],20,3,5,6,15,4,umap,16,,['timeline_index'],[None],True,1,384,True,"(10,)",384,"(256, 256)",0.5,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,13
0,,0.634482741355896,0.47857869886662363,[0.76910276 0.33487085 0.33176249],0.48766845992383034,[0.73887557 0.37970711 0.3444227 ],0.473804522731047,[0.80190862 0.29950495 0.32      ],,0.6751766204833984,0.5548028469364238,[0.79457412 0.47201426 0.39782016],0.5619400902151044,[0.77147603 0.51921569 0.39512855],0.5507754816604283,[0.81909801 0.43267974 0.4005487 ],20,3,5,6,15,4,umap,16,,['timeline_index'],[None],True,1,384,True,"(10,)",384,"(256, 256)",0.5,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,14
0,,0.6427202820777893,0.5025260598203426,[0.77056647 0.40069686 0.33631485],0.5046761666141893,[0.75868834 0.42435424 0.33098592],0.501392858776913,[0.78282244 0.37953795 0.34181818],,0.6673089265823364,0.5524355184879681,[0.78651967 0.49055353 0.38023336],0.5534495325725484,[0.78220782 0.49764627 0.38049451],0.5515040035218477,[0.79087931 0.48366013 0.37997257],20,3,5,6,15,4,umap,16,,['timeline_index'],[None],True,1,384,True,"(10,)",384,"(256, 256)",0.5,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,14
0,,0.6490421295166016,0.5027229498742799,[0.77642105 0.39577594 0.33597186],0.5086160470940623,[0.75429506 0.44616977 0.3253833 ],0.5009225381763162,[0.79988433 0.35561056 0.34727273],,0.6703596711158752,0.5510242210564867,[0.79146101 0.47740113 0.38421053],0.5546428549922877,[0.77557437 0.51920123 0.36915297],0.5501302853102833,[0.80801209 0.44183007 0.4005487 ],20,3,5,6,15,4,umap,16,,['timeline_index'],[None],True,1,384,True,"(10,)",384,"(256, 256)",0.5,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,14
0,,0.6272030472755432,0.49986209946411786,[0.75062528 0.42600382 0.3229572 ],0.50276264917229,[0.7640012  0.39700641 0.34728033],0.49969959922539386,[0.73770966 0.45957096 0.30181818],,0.6698779463768005,0.5562897051568119,[0.78571429 0.52073872 0.36241611],0.5602357509349565,[0.79859485 0.48505358 0.39705882],0.5562224889955982,[0.77324263 0.5620915  0.33333333],20,3,5,6,15,4,umap,16,,['timeline_index'],[None],True,1,384,True,"(10,)",384,"(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,15
