,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,add_time_in_path,num_features,embedding_dim,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.25485629807500276,0.5919923782348633,0.5680436255041409,[0.46633416 0.66975309],0.6421782827179374,[0.73913043 0.54522613],0.6043096539162113,[0.34061931 0.868     ],0.24048180878162384,0.6441280841827393,0.6299515381373789,[0.70238095 0.55752212],0.6298284364084652,[0.75159236 0.50806452],0.6384324679592508,[0.65921788 0.61764706],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.0001,123,False,focal,2,False,,Conv1d,,concatenation,64,10
0,0.3617064795073341,0.6129647493362427,0.6127785778708796,[0.6042885  0.62126866],0.6160315051824485,[0.64989518 0.58216783],0.6153315118397086,[0.56466302 0.666     ],0.21771903932094575,0.7508896589279175,0.7202468995335078,[0.81283422 0.62765957],0.7327668455575432,[0.77948718 0.68604651],0.7137966918611021,[0.84916201 0.57843137],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.0005,1,False,focal,2,False,,Conv1d,,concatenation,64,11
0,0.4952563836294062,0.567206859588623,0.5634743426166278,[0.52310924 0.60383944],0.5767348600665289,[0.617866   0.53560372],0.572775956284153,[0.45355191 0.692     ],0.26309036910533906,0.6797152757644653,0.6604092813406381,[0.74137931 0.57943925],0.6584425190194421,[0.76331361 0.55357143],0.6642567641581771,[0.72067039 0.60784314],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.0005,12,False,focal,2,False,,Conv1d,,concatenation,64,11
0,0.5536989446948556,0.586272656917572,0.5835382408688079,[0.54979253 0.61728395],0.5953023450267949,[0.63855422 0.55205047],0.5913479052823315,[0.48269581 0.7       ],0.21979897916316987,0.7366548180580139,0.7227170898229145,[0.78488372 0.66055046],0.719435736677116,[0.81818182 0.62068966],0.7300361485376274,[0.75418994 0.70588235],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.0005,123,False,focal,2,False,,Conv1d,,concatenation,64,11
0,0.3986518681049347,0.6110581755638123,0.6103410853842399,[0.62705667 0.5936255 ],0.6103138197174894,[0.6293578  0.59126984],0.6103861566484516,[0.62477231 0.596     ],0.20105998516082763,0.7580071091651917,0.7204470973782771,[0.82291667 0.61797753],0.7472079589216944,[0.77073171 0.72368421],0.7109486252601599,[0.88268156 0.53921569],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(256, 256)",0.5,0.001,1,False,focal,2,False,,Conv1d,,concatenation,64,12
0,0.5112976326661951,0.5776930451393127,0.5633688214142428,[0.48428405 0.64245359],0.6047666855820857,[0.67096774 0.53856563],0.5874353369763206,[0.37887067 0.796     ],0.26341778337955474,0.6583629846572876,0.6523352922981751,[0.69811321 0.60655738],0.6598439558212585,[0.79856115 0.52112676],0.6728009639610033,[0.62011173 0.7254902 ],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(256, 256)",0.5,0.001,12,False,focal,2,False,,Conv1d,,concatenation,64,12
0,0.7326638838824104,0.5729265809059143,0.5719147385680452,[0.5511022  0.59272727],0.5779027468448403,[0.61247216 0.54333333],0.576455373406193,[0.50091075 0.652     ],0.26163367331027987,0.7153024673461914,0.6835585585585586,[0.78378378 0.58333333],0.6906922629435719,[0.7591623  0.62222222],0.6795377368824624,[0.81005587 0.54901961],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(256, 256)",0.5,0.001,123,False,focal,2,False,,Conv1d,,concatenation,64,12
0,0.3547126300194684,0.6120114326477051,0.6105618418232153,[0.63432165 0.58680203],0.6108814067412445,[0.62588652 0.59587629],0.6104936247723133,[0.64298725 0.578     ],0.19595110416412354,0.7508896589279175,0.706768038163387,[0.82051282 0.59302326],0.7434326337169939,[0.75829384 0.72857143],0.696927374301676,[0.89385475 0.5       ],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(256, 256)",0.5,0.0001,1,False,focal,2,False,,Conv1d,,concatenation,64,13
0,0.2885914199492511,0.6015252470970154,0.581948989009145,[0.49148418 0.67241379],0.6463808957365659,[0.73992674 0.55283505],0.6129708561020036,[0.36794171 0.858     ],0.23567723631858825,0.6334519386291504,0.6106514925272744,[0.70487106 0.51643192],0.6095124536301006,[0.72352941 0.4954955 ],0.6131832621316683,[0.68715084 0.53921569],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(256, 256)",0.5,0.0001,12,False,focal,2,False,,Conv1d,,concatenation,64,13
0,0.28761928484720345,0.6005719900131226,0.5845505286091695,[0.5029656  0.66613546],0.637365409740055,[0.72108844 0.55364238],0.6110783242258652,[0.38615665 0.836     ],0.2401164412498474,0.6334519386291504,0.6045227847236456,[0.71148459 0.49756098],0.6043143885676885,[0.71348315 0.49514563],0.6047486033519553,[0.70949721 0.5       ],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(256, 256)",0.5,0.0001,123,False,focal,2,False,,Conv1d,,concatenation,64,13
