,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.3152743490303264,0.6186844706535339,0.6038489716689703,[0.52718676 0.68051118],0.6586655562719392,[0.75084175 0.56648936],0.6290965391621129,[0.40619308 0.852     ],0.2351804107427597,0.6619216799736023,0.6508677626502399,[0.71299094 0.58874459],0.6517237862097103,[0.77631579 0.52713178],0.6629422718808193,[0.65921788 0.66666667],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.0001,1,focal,2,False,,Conv1d,,concatenation,64,10
0,0.32013598698026996,0.6329838037490845,0.6327581895473868,[0.64186047 0.62365591],0.6329180873725,[0.65589354 0.60994264],0.633207650273224,[0.6284153 0.638    ],0.2383803904056549,0.6868327260017395,0.6095743337122648,[0.78325123 0.43589744],0.6650350791319954,[0.70044053 0.62962963],0.6108007448789572,[0.88826816 0.33333333],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.0001,12,focal,2,False,,Conv1d,,concatenation,64,10
0,0.4562092861708473,0.5919923782348633,0.591171671256028,[0.60948905 0.57285429],0.5911582190433877,[0.61060329 0.57171315],0.5911894353369763,[0.60837887 0.574     ],0.3446796178817749,0.708185076713562,0.6608278379651437,[0.78756477 0.53409091],0.6847173260216739,[0.73429952 0.63513514],0.6549731624493372,[0.84916201 0.46078431],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.0001,123,focal,2,False,,Conv1d,,concatenation,64,10
0,0.6748930846943575,0.5376549363136292,0.5376280175982449,[0.54115421 0.53410183],0.5384276711252128,[0.56299213 0.51386322],0.5384735883424407,[0.52094718 0.556     ],0.20261569917201996,0.6975088715553284,0.6786929792700809,[0.75644699 0.60093897],0.6765235824059354,[0.77647059 0.57657658],0.682440573994961,[0.73743017 0.62745098],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.0005,1,focal,2,False,,Conv1d,,concatenation,64,11
0,0.4821864436654484,0.6253575086593628,0.6249634976734031,[0.61280788 0.63711911],0.6295743490455613,[0.66738197 0.59176672],0.6282422586520947,[0.56648452 0.69      ],0.22196658849716186,0.7437722086906433,0.7381987577639751,[0.77639752 0.7       ],0.7414107631498936,[0.87412587 0.60869565],0.7609267170555373,[0.69832402 0.82352941],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.0005,12,focal,2,False,,Conv1d,,concatenation,64,11
0,0.3643089822110008,0.6186844706535339,0.6167252479045942,[0.58932238 0.64412811],0.627711161387632,[0.67529412 0.58012821],0.6233843351548269,[0.52276867 0.724     ],0.2311516135931015,0.6725978851318359,0.6639804512841843,[0.71779141 0.61016949],0.6666159000913798,[0.79591837 0.53731343],0.6797568189286889,[0.65363128 0.70588235],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.0005,123,focal,2,False,,Conv1d,,concatenation,64,11
0,0.5664445354658014,0.6291706562042236,0.6282571602181659,[0.64668483 0.60982949],0.6282987781763042,[0.64492754 0.61167002],0.6282258652094718,[0.64845173 0.608     ],0.19933529794216157,0.7259786128997803,0.6805167958656331,[0.80103359 0.56      ],0.7082125922023182,[0.74519231 0.67123288],0.6731569722861211,[0.86592179 0.48039216],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.5,0.001,1,focal,2,False,,Conv1d,,concatenation,64,12
0,0.35913600641138416,0.6625357866287231,0.6623120348613041,[0.65362035 0.67100372],0.6664335946676063,[0.70613108 0.62673611],0.6651894353369763,[0.60837887 0.722     ],0.2011221319437027,0.6690391302108765,0.6065314603188943,[0.76335878 0.44970414],0.6340493792718649,[0.70093458 0.56716418],0.6052689232117427,[0.83798883 0.37254902],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.5,0.001,12,focal,2,False,,Conv1d,,concatenation,64,12
0,0.7569730912937838,0.5900858044624329,0.5898886415873847,[0.5988806  0.58089669],0.5901533271779511,[0.61376673 0.56653992],0.5903497267759563,[0.58469945 0.596     ],0.2024787873029709,0.7153024673461914,0.6958874458874458,[0.77272727 0.61904762],0.6939895097409549,[0.78612717 0.60185185],0.6985157191368168,[0.75977654 0.6372549 ],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.5,0.001,123,focal,2,False,,Conv1d,,concatenation,64,12
0,0.3947730344884536,0.644423246383667,0.644340518749801,[0.63891578 0.64976526],0.6471037811745777,[0.68181818 0.61238938],0.6465464480874317,[0.6010929 0.692    ],0.22360483407974244,0.6512455344200134,0.6040660225442833,[0.74074074 0.4673913 ],0.6139539159210687,[0.70351759 0.52439024],0.6018457662394566,[0.78212291 0.42156863],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.5,0.0001,1,focal,2,False,,Conv1d,,concatenation,64,13
