,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6898415684700012,0.6744928170349305,[0.74517611 0.60380952],0.6728243251389714,[0.79980276 0.54584589],0.6865402439233014,[0.6975344  0.67554608],,0.7510446310043335,0.7412703064414039,[0.79155851 0.6909821 ],0.7385376049643655,[0.82131148 0.65576373],0.7470419417241223,[0.76388586 0.73019802],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.2,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.7032619118690491,0.6814790748517536,[0.76477541 0.59818274],0.6786848569924548,[0.78902439 0.56834532],0.6866495310201228,[0.74197248 0.63132658],,0.7583232522010803,0.7453589382013939,[0.80281535 0.68790252],0.7440795368134865,[0.81075078 0.6774083 ],0.7468803886331938,[0.79503376 0.69872702],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.2,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6924510598182678,0.6788264362061084,[0.74497682 0.61267606],0.6779057334635875,[0.80818243 0.54762904],0.693099379011012,[0.69094037 0.69525839],,0.755897045135498,0.747991788046752,[0.79262567 0.7033579 ],0.7453795434489419,[0.83558667 0.65517241],0.7565300182972836,[0.75386626 0.75919378],20,3,5,6,15,4,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)",384,"(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.6887232065200806,0.6723589119780189,[0.74558196 0.59913586],0.6703649528672495,[0.79551365 0.54521625],0.6832194741511195,[0.70154817 0.66489078],,0.7549535036087036,0.7474476142255924,[0.79098643 0.70390879],0.7450350982592463,[0.83759435 0.65247585],0.7567181823979454,[0.74929209 0.76414427],20,3,5,6,15,4,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)",384,"(256, 256)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.7064305543899536,0.6828813161828509,[0.76929837 0.59646426],0.6804970543166449,[0.78646301 0.5745311 ],0.6865027456951118,[0.75286697 0.62013852],,0.7642539143562317,0.7506649134328471,[0.80887335 0.69245648],0.7501625752471419,[0.81162281 0.68870234],0.7511971103293233,[0.80614245 0.69625177],20,3,5,6,15,4,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)",384,"(256, 256)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.6984156370162964,0.6773452191351159,[0.7597981  0.59489234],0.6745204635940347,[0.78786946 0.56117147],0.6832915685042988,[0.73365826 0.63292488],,0.7393179535865784,0.7253165713351055,[0.78733231 0.66330084],0.724158859799914,[0.79502554 0.65329218],0.7267037362011709,[0.77978654 0.67362093],20,3,5,6,15,4,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)",384,"(256, 256)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,13
0,,0.6997203826904297,0.6792288397081867,[0.76030353 0.59815415],0.6763351988667523,[0.79028766 0.56238274],0.6856483817872556,[0.73251147 0.6387853 ],,0.7459226250648499,0.7316321355396733,[0.7935604  0.66970387],0.7308948821253096,[0.79801762 0.66377214],0.7324476321515837,[0.78915269 0.67574257],20,3,5,6,15,4,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)",384,"(256, 256)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,13
0,,0.7025163173675537,0.685120904182178,[0.7591307  0.61111111],0.682277629864434,[0.8014659  0.56308936],0.694565475724976,[0.72104358 0.66808737],,0.7549535036087036,0.7441429855290818,[0.79673524 0.69155073],0.7416128427523498,[0.81851597 0.66470972],0.7483671392001507,[0.77608364 0.72065064],20,3,5,6,15,4,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)",384,"(256, 256)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,13
0,,0.6810810565948486,0.6621492381854099,[0.74212509 0.58217338],0.6598767400673291,[0.78233238 0.5374211 ],0.6704522820917627,[0.70584862 0.63505594],,0.7455182671546936,0.7345359605552827,[0.78853047 0.68054146],0.7320596569038997,[0.81162094 0.65249838],0.7389103719626093,[0.76671749 0.71110325],20,3,5,6,15,4,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)",384,"(256, 256)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,14
0,,0.6920782923698425,0.672205056375088,[0.75291654 0.59149357],0.6694847494958922,[0.78705441 0.55191509],0.6794019865049146,[0.72161697 0.637187  ],,0.7453835010528564,0.7330610005861824,[0.79041385 0.67570815],0.7310872609380072,[0.80551787 0.65665666],0.735881992841908,[0.77586582 0.69589816],20,3,5,6,15,4,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)",384,"(256, 256)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,14
0,,0.7002795934677124,0.6792739530708791,[0.76135352 0.59719439],0.6764120749227132,[0.78923077 0.56359338],0.6852171903486435,[0.73537844 0.63505594],,0.7604798674583435,0.7479204902175893,[0.80418733 0.69165365],0.7464141668958872,[0.81378234 0.679046  ],0.7497771376073413,[0.79481594 0.70473833],20,3,5,6,15,4,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)",384,"(256, 256)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,14
0,,0.6881640553474426,0.6753467815831151,[0.73985383 0.61083973],0.6752363864709412,[0.80835882 0.54211396],0.6907866318740132,[0.68205275 0.69952051],,0.7545491456985474,0.7470429723842243,[0.79061745 0.70346849],0.7446441559465002,[0.83731125 0.65197706],0.7563235615343592,[0.74885646 0.76379066],20,3,5,6,15,4,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)",384,"(256, 256)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,15
0,,0.6745573282241821,0.6610498034026695,[0.72871349 0.59338612],0.66127712791966,[0.79545455 0.52709971],0.6755238601760568,[0.67230505 0.67874267],,0.7527968883514404,0.7450777219545974,[0.78943743 0.70071802],0.7426373347458562,[0.83466861 0.65060606],0.754025117404232,[0.74885646 0.75919378],20,3,5,6,15,4,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)",384,"(256, 256)",0.2,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,15
0,,0.700465977191925,0.6793094165856622,[0.76167878 0.59694006],0.6764605674099635,[0.78894009 0.56398104],0.6851144711695903,[0.73623853 0.63399041],,0.7619625329971313,0.7504575659048034,[0.80403906 0.69687607],0.7483079649420205,[0.81949785 0.67711808],0.7534872361119798,[0.78915269 0.71782178],20,3,5,6,15,4,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)",384,"(256, 256)",0.2,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,15
