,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.40009981919737425,0.5948522686958313,0.5801965187832219,[0.5017585  0.65863454],0.6271414694454256,[0.70394737 0.55033557],0.6048998178506375,[0.38979964 0.82      ],0.24483891129493712,0.6548042893409729,0.6319655419181485,[0.72364672 0.54028436],0.6306539364198848,[0.73837209 0.52293578],0.6341603680578376,[0.70949721 0.55882353],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.1,0.0001,1,focal,2,False,,Conv1d,,concatenation,64,10
0,0.8546521383173326,0.5757864713668823,0.5745740545811631,[0.55186304 0.59728507],0.5812858312858313,[0.61711712 0.54545455],0.5795446265938069,[0.49908925 0.66      ],0.6820923089981079,0.6725978851318359,0.6460181838098369,[0.74301676 0.54901961],0.6460181838098369,[0.74301676 0.54901961],0.6460181838098369,[0.74301676 0.54901961],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.1,0.0001,12,focal,2,False,,Conv1d,,concatenation,64,10
0,0.813323504784528,0.557673990726471,0.5575288171339223,[0.54951456 0.56554307],0.5600238646013294,[0.58835759 0.53169014],0.5597413479052824,[0.5154827 0.604    ],0.61027010679245,0.6939501762390137,0.6420488209503497,[0.77835052 0.50574713],0.6667995746943116,[0.72248804 0.61111111],0.6374739840070107,[0.84357542 0.43137255],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.1,0.0001,123,focal,2,False,,Conv1d,,concatenation,64,10
0,0.6474559219444499,0.5433746576309204,0.5410909423019842,[0.50871795 0.57346394],0.5495067784987075,[0.58215962 0.51685393],0.5478652094717669,[0.45173042 0.644     ],0.17589546144008636,0.8220640420913696,0.7905485986881335,[0.87179487 0.70930233],0.8385578876100204,[0.8056872  0.87142857],0.773879943038668,[0.94972067 0.59803922],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.1,0.0005,1,focal,2,False,,Conv1d,,concatenation,64,11
0,1.4296577152083902,0.5338417887687683,0.5258724194823021,[0.58734177 0.46440307],0.5302435013020239,[0.54716981 0.51331719],0.5289398907103825,[0.63387978 0.424     ],1.1984257221221923,0.6583629846572876,0.5671373555840822,[0.76585366 0.36842105],0.6198268398268398,[0.67965368 0.56      ],0.5758023879943039,[0.87709497 0.2745098 ],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.1,0.0005,12,focal,2,False,,Conv1d,,concatenation,64,11
0,0.34533710339490103,0.6005719900131226,0.5952756949579235,[0.5489774  0.64157399],0.6157953740854378,[0.67105263 0.56053812],0.60724043715847,[0.46448087 0.75      ],0.23450781106948854,0.6654804348945618,0.6367711771177118,[0.73888889 0.53465347],0.6374033149171271,[0.73480663 0.54      ],0.6362142622412094,[0.74301676 0.52941176],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.1,0.0005,123,focal,2,False,,Conv1d,,concatenation,64,11
0,0.3680545372121474,0.5986654162406921,0.5878407952955713,[0.52104664 0.65463495],0.6244384035065538,[0.69393939 0.55493741],0.6075610200364299,[0.41712204 0.798     ],0.23857314884662628,0.6263344883918762,0.5896669216327098,[0.71232877 0.46700508],0.5915676287492926,[0.69892473 0.48421053],0.5886186876985431,[0.72625698 0.45098039],35,3,5,11,15,4,umap,17,8,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,6,1,"(256, 256)",0.5,0.001,1,focal,2,False,,Conv1d,,concatenation,64,12
0,0.3126583870719461,0.6110581755638123,0.6068129202954471,[0.56595745 0.64766839],0.6251078599802549,[0.68030691 0.56990881],0.6172586520947176,[0.4845173 0.75     ],0.21781887412071227,0.6192170977592468,0.5712370766488414,[0.71466667 0.42780749],0.5771308523409364,[0.68367347 0.47058824],0.5703801073502026,[0.74860335 0.39215686],35,3,5,11,15,4,umap,17,8,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,6,1,"(256, 256)",0.5,0.001,12,focal,2,False,,Conv1d,,concatenation,64,12
0,0.28502319577862234,0.6081982851028442,0.6061308667351832,[0.57759507 0.63466667],0.616967924528302,[0.66273585 0.5712    ],0.61291985428051,[0.51183971 0.714     ],0.23060519099235535,0.5978647470474243,0.5311480251015135,[0.70801034 0.35428571],0.5416556902002108,[0.65865385 0.42465753],0.5346423485595355,[0.76536313 0.30392157],35,3,5,11,15,4,umap,17,8,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,6,1,"(256, 256)",0.5,0.001,123,focal,2,False,,Conv1d,,concatenation,64,12
0,0.3399614218403311,0.6043851375579834,0.5954380079270304,[0.53527436 0.65560166],0.6275255649018638,[0.69476744 0.56028369],0.6126684881602915,[0.43533698 0.79      ],0.2332591027021408,0.6014235019683838,0.5499885609700297,[0.70212766 0.39784946],0.5552634759487551,[0.67005076 0.44047619],0.5500876328184905,[0.73743017 0.3627451 ],35,3,5,11,15,4,umap,17,8,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,6,1,"(256, 256)",0.5,0.0001,1,focal,2,False,,Conv1d,,concatenation,64,13
