,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6915190815925598,0.6693904581880389,[0.75492374 0.58385718],0.6667807919492452,[0.78070444 0.55285714],0.6746657540824954,[0.73079128 0.61854022],,0.7897290587425232,0.778120182773002,[0.82887231 0.72736805],0.7769955365835964,[0.83491713 0.71907395],0.779385063082342,[0.8229144  0.73585573],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6933830380439758,0.6700744743436657,[0.75776763 0.58238132],0.6676224300690111,[0.7789888  0.55625606],0.6743767657006838,[0.73767202 0.61108151],,0.7718021273612976,0.7578970713668318,[0.81591823 0.69987591],0.7581657891011878,[0.81458967 0.70174191],0.757635472760955,[0.81725114 0.6980198 ],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6739981174468994,0.6492906921502234,[0.74237738 0.55620401],0.6472063903585712,[0.76340503 0.53100775],0.6531937798458403,[0.72247706 0.5839105 ],,0.7499663233757019,0.7356240043213813,[0.79720127 0.67404674],0.7350950196522064,[0.80026339 0.66992665],0.7361901568070116,[0.79416249 0.67821782],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6866728663444519,0.6526985362225866,[0.7613233  0.54407377],0.6541463661017476,[0.75414909 0.55414365],0.6514993334327177,[0.76863532 0.53436335],,0.8014557361602783,0.7859967757112063,[0.84351429 0.72847926],0.7920938830130865,[0.82330983 0.76087794],0.7817311836669556,[0.86473535 0.69872702],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6969245076179504,0.6777402106203887,[0.756368   0.59911243],0.6749055859633718,[0.79221594 0.55759523],0.6854666948527075,[0.72362385 0.64730954],,0.7626364827156067,0.7506596140650106,[0.8053068  0.69601243],0.7488122543277316,[0.81769196 0.67993255],0.7530812545423569,[0.79329122 0.71287129],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6898415684700012,0.6634260556466589,[0.75771695 0.56913516],0.6617374390771019,[0.76982249 0.55365239],0.6657475145777226,[0.74598624 0.58550879],,0.751853346824646,0.7356271375297099,[0.80112347 0.6701308 ],0.7369719725930439,[0.79468495 0.67925899],0.7344559354027944,[0.80766717 0.6612447 ],20,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)","(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.6972972750663757,0.6773171364023555,[0.75761194 0.59702233],0.6744585590843442,[0.79016189 0.55875523],0.6842769852829764,[0.72763761 0.64091636],,0.76870197057724,0.7572561159770462,[0.80996678 0.70454545],0.7552056890496227,[0.8238342  0.68657718],0.7600189873983197,[0.79655848 0.72347949],20,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)","(256, 256)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.6849953532218933,0.6569096000302721,[0.75507246 0.55874674],0.6556784464217433,[0.76348183 0.54787506],0.6584524672153984,[0.74684633 0.5700586 ],,0.7382396459579468,0.7216929873971104,[0.78955353 0.65383244],0.7224376118883726,[0.78563727 0.65923796],0.7210119454550552,[0.79350904 0.64851485],20,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)","(256, 256)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.6695246696472168,0.6465437225847501,[0.73667013 0.55641731],0.6443904991714393,[0.7642527 0.5245283],0.6517219552966133,[0.71100917 0.59243474],,0.7598059177398682,0.7457396392713544,[0.80554343 0.68593585],0.7454477447832684,[0.8071288  0.68376669],0.7460415449081392,[0.80396428 0.68811881],20,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)","(256, 256)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,13
0,,0.6814538836479187,0.6559765117511597,[0.74959707 0.56235595],0.6539884529384541,[0.76655679 0.54142012],0.6591737926028749,[0.73337156 0.58497603],,0.7825852632522583,0.7718123844781852,[0.82139298 0.72223179],0.7696439264037451,[0.83536036 0.70392749],0.77469921471719,[0.80788499 0.74151344],20,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)","(256, 256)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,13
0,,0.6801491379737854,0.6574520733393103,[0.74562704 0.56927711],0.6550759795973724,[0.77194598 0.53820598],0.6625995726882152,[0.72104358 0.60415557],,0.761288583278656,0.7485477533861864,[0.80514908 0.69194643],0.7472019212312246,[0.81347265 0.68093119],0.7501590113736457,[0.79699412 0.7033239 ],20,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)","(256, 256)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,13
0,,0.6751164793968201,0.6477256969421488,[0.7459554  0.54949599],0.6461531718334946,[0.75867181 0.53363454],0.6499937528410062,[0.73365826 0.56632925],,0.7762501835823059,0.7612260519164671,[0.82112069 0.70133141],0.7632297005617543,[0.81253999 0.71391941],0.7595320944951949,[0.82988456 0.68917963],20,15,4,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(10,)","(256, 256)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,14
