,loss,accuracy,f1,f1_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,hidden_dim,dropout_rate,learning_rate,seed,gamma,k_fold,model_id,k,input_dim
0,focal,0.702602207660675,0.6267020894313021,[0.79427549 0.57231726 0.51351351],0.5758634682963876,0.7230483293533325,0.6311984174482607,[0.81272596 0.59923664 0.48163265],[100],0.5,0.0005,0,2,False,0.2,5,766
0,focal,0.6996282339096069,0.6305419363025871,[0.7901383  0.56025039 0.54123711],0.5577177668319029,0.7230483293533325,0.6352598907909962,[0.81422351 0.58959538 0.50196078],[100],0.5,0.0005,1,2,False,0.2,5,766
0,focal,0.697397768497467,0.6114245611882894,[0.79458505 0.55924171 0.48044693],0.633111405022004,0.7304832935333252,0.638765467872973,[0.81896552 0.60153257 0.49579832],[100],0.5,0.0005,12,2,False,0.2,5,766
0,focal,0.710780680179596,0.633356256386703,[0.80141011 0.57004831 0.52861035],0.5664214965175179,0.7202602028846741,0.6323456425503149,[0.81186686 0.57904762 0.50612245],[100],0.5,0.0005,123,2,False,0.2,5,766
0,focal,0.6996282339096069,0.6271330149826928,[0.79161677 0.5632     0.52658228],0.5238865719122046,0.7193308472633362,0.629505082600082,[0.81222707 0.59143969 0.48484848],[100],0.5,0.0005,1234,2,False,0.2,5,766
0,focal,0.7018587589263916,0.6262918168457755,[0.79761905 0.54895666 0.53229974],0.5049059285837061,0.7137546539306641,0.6221905553278159,[0.80986938 0.56870229 0.488     ],[100],0.5,0.0001,0,2,False,0.3,5,766
0,focal,0.6944237947463989,0.6198242454808947,[0.78978622 0.53462158 0.53506494],0.5091507347191081,0.7109665274620056,0.6161765407672964,[0.81136198 0.56429942 0.47286822],[100],0.5,0.0001,1,2,False,0.3,5,766
0,focal,0.6869888305664062,0.6137945742608065,[0.78417266 0.52750809 0.52970297],0.505347292212879,0.6988847851753235,0.6069158083434596,[0.80147059 0.55212355 0.46715328],[100],0.5,0.0001,12,2,False,0.3,5,766
0,focal,0.697397768497467,0.6247667204660701,[0.79261025 0.53442623 0.54726368],0.4993395594989552,0.7118958830833435,0.6175944864054811,[0.81190995 0.56360078 0.47727273],[100],0.5,0.0001,123,2,False,0.3,5,766
0,focal,0.7003717422485352,0.6290292720050313,[0.79304139 0.55696203 0.5370844 ],0.499374682412428,0.7109665274620056,0.6176599290818475,[0.80938416 0.57794677 0.46564885],[100],0.5,0.0001,1234,2,False,0.3,5,766
0,focal,0.6059479713439941,0.28864488017429196,[0.75482353 0.         0.11111111],0.7883396394112531,0.6198884844779968,0.26494402168992137,[0.768342   0.         0.02649007],[100],0.5,1e-05,0,2,False,0.4,5,766
0,focal,0.5256505608558655,0.3341376180934755,[0.6983588  0.         0.30405405],0.789047476123361,0.5492565035820007,0.3425472605286151,[0.72967338 0.         0.2979684 ],[100],0.5,1e-05,1,2,False,0.4,5,766
0,focal,0.5747212171554565,0.3486277026731813,[0.7424643 0.        0.3034188],0.7864717700902153,0.5762081742286682,0.339778422450312,[0.74967235 0.         0.26966292],[100],0.5,1e-05,12,2,False,0.4,5,766
0,focal,0.6869888305664062,0.5570280799240959,[0.80388794 0.51470588 0.35249042],0.601460502428167,0.7109665274620056,0.5669457749993915,[0.8198324  0.54379562 0.3372093 ],[100],0.5,1e-05,123,2,False,0.4,5,766
