,loss,accuracy,f1,f1_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,hidden_dim,dropout_rate,learning_rate,seed,gamma,k_fold,model_id,k,input_dim
2,focal,0.6832713484764099,0.5880991528961045,[0.78348083 0.56221198 0.41860465],0.5420655767832484,0.6852477192878723,0.6013005740802324,[0.78323569 0.55204678 0.46861925],"[100, 100]",0.2,0.0005,0,2,True,2.22,20,766
3,focal,0.6907063126564026,0.5991203881110739,[0.79557368 0.52797203 0.47381546],0.5652765833905765,0.6852477192878723,0.5843851389722295,[0.7924858  0.52713178 0.43353783],"[100, 100]",0.2,0.0005,0,2,True,2.22,20,766
4,focal,0.6721189618110657,0.600321976651553,[0.76941601 0.51265823 0.51889169],0.5291572606989315,0.6953828930854797,0.6164314646463707,[0.79280899 0.54705144 0.50943396],"[100, 100]",0.2,0.0005,0,2,True,2.22,20,766
0,focal,0.6884758472442627,0.6142296917130425,[0.78915663 0.5229202  0.53061224],0.5358851881963866,0.6784909963607788,0.5980093062395748,[0.78035471 0.54224464 0.47142857],"[100, 100]",0.2,0.0005,1,2,True,2.22,20,766
1,focal,0.6572490930557251,0.5790112729458546,[0.76790123 0.5152     0.45393258],0.5145455332739013,0.6722972989082336,0.603776011046267,[0.76691729 0.56705882 0.47735192],"[100, 100]",0.2,0.0005,1,2,True,2.22,20,766
2,focal,0.6847583651542664,0.5890265549442343,[0.78579882 0.57231726 0.40896359],0.5372616286788668,0.6875,0.602068279662317,[0.78700361 0.55952381 0.45967742],"[100, 100]",0.2,0.0005,1,2,True,2.22,20,766
3,focal,0.6691449880599976,0.6049804344541186,[0.76065163 0.57230769 0.48198198],0.5601992830634117,0.6632882952690125,0.5879479286098911,[0.76275152 0.55944056 0.44165171],"[100, 100]",0.2,0.0005,1,2,True,2.22,20,766
4,focal,0.664683997631073,0.6001815089281958,[0.76190476 0.5323741  0.50626566],0.5322878839714187,0.6801801919937134,0.6108090934709991,[0.7760075  0.55543359 0.50098619],"[100, 100]",0.2,0.0005,1,2,True,2.22,20,766
0,focal,0.6743494272232056,0.6104291549838539,[0.77261307 0.54135338 0.51732102],0.5418402818696839,0.6542792916297913,0.5801350531906911,[0.75445173 0.53697383 0.44897959],"[100, 100]",0.2,0.0005,12,2,True,2.22,20,766
1,focal,0.6966542601585388,0.595092384961903,[0.80299539 0.53846154 0.44382022],0.5243009073393685,0.7027027010917664,0.6141311057544036,[0.79790026 0.55121951 0.49327354],"[100, 100]",0.2,0.0005,12,2,True,2.22,20,766
2,focal,0.6832713484764099,0.5797829695793806,[0.78662053 0.54575163 0.40697674],0.5406298562884331,0.7004504799842834,0.6054082704144061,[0.8003495  0.5530303  0.46284501],"[100, 100]",0.2,0.0005,12,2,True,2.22,20,766
3,focal,0.68104088306427,0.6028914317103639,[0.77784467 0.55608215 0.47474747],0.5665126176817077,0.6728603839874268,0.5885036087790342,[0.77090909 0.55427252 0.44032922],"[100, 100]",0.2,0.0005,12,2,True,2.22,20,766
4,focal,0.6609665155410767,0.600321341840002,[0.75483468 0.52054795 0.5255814 ],0.5327144382255418,0.6762387156486511,0.6108656318260698,[0.77097078 0.55363322 0.5079929 ],"[100, 100]",0.2,0.0005,12,2,True,2.22,20,766
0,focal,0.6907063126564026,0.6180898251850344,[0.79199515 0.52614379 0.53613054],0.539040703858648,0.6829954981803894,0.6048985672656081,[0.77918552 0.55223881 0.48327138],"[100, 100]",0.2,0.0005,123,2,True,2.22,20,766
1,focal,0.6736059188842773,0.5967775317405875,[0.7770936  0.55023184 0.46300716],0.5110951992017883,0.6762387156486511,0.6066561722091574,[0.77059925 0.56328392 0.48608534],"[100, 100]",0.2,0.0005,123,2,True,2.22,20,766
2,focal,0.6847583651542664,0.5787696822623806,[0.79096045 0.52157598 0.42377261],0.5430109213505473,0.690315306186676,0.5932891546387977,[0.79480519 0.5192582  0.46580407],"[100, 100]",0.2,0.0005,123,2,True,2.22,20,766
